start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 01:00,2019-10-01 00:40,1125074,3235032,M,50,EW,1421,149223,3.29
2019-09-30 01:00,2019-10-01 01:00,3338012,1115072,F,30,EE,1440,138448,2.40
2019-09-30 01:20,2019-10-01 00:20,3602031,1124071,F,20,EE,1385,309284,2.17
2019-09-30 01:20,2019-10-01 01:00,1120065,2405058,F,30,HE,1426,258537,2.42
2019-09-30 01:40,2019-10-01 01:00,1119074,2405052,F,25,HE,1392,265633,2.06
2019-09-30 02:00,2019-10-01 01:00,1102067,3505041,M,25,WE,1387,236334,2.24
2019-09-30 02:00,2019-10-01 01:00,2402066,1107052,F,20,EE,1382,271220,2.18
2019-09-30 02:00,2019-10-01 01:40,1119074,2503057,M,25,EH,1409,136663,2.24
2019-09-30 02:20,2019-10-01 01:00,1107065,3501257,M,40,HE,1355,196240,2.99
2019-09-30 02:20,2019-10-01 01:40,1104058,2503072,M,35,EE,1400,141503,2.73
2019-09-30 02:40,2019-10-01 00:00,2405075,1114066,M,20,EE,1297,262348,2.71
2019-09-30 03:00,2019-10-01 01:00,3201058,1122055,F,30,EH,1324,75772,2.40
2019-09-30 03:00,2019-10-01 01:00,3302062,1120073,F,25,EH,1321,100654,2.05
2019-09-30 03:20,2019-10-01 01:00,1115054,3533011,F,35,EE,1293,183543,3.04
2019-09-30 03:20,2019-10-01 01:00,1123078,3337034,M,40,EE,1297,71622,3.01
2019-09-30 03:40,2019-10-01 00:00,3902031,1120070,F,15,EH,1236,473776,4.07
2019-09-30 04:00,2019-10-01 01:00,1103074,3635034,M,25,EH,1253,336858,2.30
2019-09-30 04:00,2019-10-01 01:00,1109060,3501173,M,25,EE,1253,201733,2.23
2019-09-30 04:00,2019-10-01 01:00,1114066,2403066,F,20,EH,1259,271549,2.20
2019-09-30 04:00,2019-10-01 01:00,2901053,1124058,M,45,HH,1252,113707,3.15
2019-09-30 04:20,2019-10-01 01:20,1112071,3501173,M,40,EE,1253,201203,3.01
2019-09-30 04:20,2019-10-01 01:20,1123063,2404057,M,45,WE,1250,258402,3.18
2019-09-30 04:40,2019-10-01 01:00,1123063,3902060,M,35,EE,1227,474157,2.73
2019-09-30 04:40,2019-10-01 04:40,3235013,1124081,M,25,EE,1429,152240,2.28
2019-09-30 05:00,2019-10-01 01:00,1103052,3501257,F,15,HE,1194,188308,4.06
2019-09-30 05:00,2019-10-01 01:20,3304332,1121080,M,30,EE,1225,98227,2.38
2019-09-30 05:00,2019-10-01 01:40,1124082,2402059,M,40,HE,1246,260016,3.01
2019-09-30 05:00,2019-10-01 02:00,1124058,3702051,F,35,EE,1252,263825,2.96
2019-09-30 05:20,2019-10-01 00:20,3902062,1111064,M,70,EE,1126,489249,4.64
2019-09-30 05:20,2019-10-01 01:00,1121071,3503065,F,55,HE,1182,166165,3.28
2019-09-30 05:20,2019-10-01 01:00,2203062,1115071,F,15,EE,1180,237552,4.03
2019-09-30 05:20,2019-10-01 01:00,3403051,1122062,M,55,HH,1192,128542,3.28
2019-09-30 05:20,2019-10-01 01:20,1101071,3606054,F,25,EE,1187,296241,2.06
2019-09-30 05:20,2019-10-01 01:20,1121063,3531033,M,30,HE,1196,182009,2.35
2019-09-30 05:20,2019-10-01 01:40,1112065,3604061,M,45,HE,1212,287596,3.18
2019-09-30 05:40,2019-10-01 00:40,2205052,1124069,M,55,EH,1130,221263,3.27
2019-09-30 05:40,2019-10-01 01:00,1101061,2404062,F,30,EE,1167,266935,2.40
2019-09-30 05:40,2019-10-01 01:00,1116069,3902051,F,20,EE,1162,479919,2.19
2019-09-30 05:40,2019-10-01 01:00,1123064,3202063,M,35,EH,1152,82640,2.73
2019-09-30 05:40,2019-10-01 01:00,1125053,3537038,F,20,EH,1153,249663,2.21
2019-09-30 05:40,2019-10-01 01:20,2207061,1113066,F,25,EH,1181,238145,2.07
2019-09-30 05:40,2019-10-01 01:40,1104057,2404062,M,40,EE,1208,265508,3.01
2019-09-30 05:40,2019-10-01 02:00,1116067,3901063,F,20,EE,1217,455118,2.21
2019-09-30 06:00,2019-10-01 00:00,3202062,1120072,F,15,EH,1085,91264,4.05
2019-09-30 06:00,2019-10-01 00:20,1104066,3401252,F,25,HH,1093,80584,2.07
2019-09-30 06:00,2019-10-01 00:20,1116053,3401260,M,25,EH,1086,82548,2.29
2019-09-30 06:00,2019-10-01 01:00,1101073,2405070,M,50,EE,1153,263821,3.29
2019-09-30 06:00,2019-10-01 01:00,1117070,3502072,F,30,HE,1146,170715,2.44
2019-09-30 06:00,2019-10-01 01:00,1124053,3601051,M,30,HE,1131,305399,4.74
2019-09-30 06:00,2019-10-01 01:20,1113069,3531037,M,20,EH,1160,175236,2.73
2019-09-30 06:00,2019-10-01 03:40,1116071,3811257,M,30,HH,1309,310618,2.37
2019-09-30 06:20,2019-10-01 00:00,2108059,1122053,M,60,EH,1051,312459,3.48
2019-09-30 06:20,2019-10-01 01:00,1114075,3901069,F,20,EE,1119,449353,2.20
2019-09-30 06:20,2019-10-01 01:00,1120067,3601073,M,25,HE,1108,301717,2.27
2019-09-30 06:20,2019-10-01 01:20,1101058,3122035,M,40,EE,1131,68003,3.01
2019-09-30 06:20,2019-10-01 03:20,3901013,1103051,M,25,EH,1247,443922,6.05
2019-09-30 06:40,2019-10-01 01:00,1116069,3901014,M,25,EE,1103,445893,2.29
2019-09-30 06:40,2019-10-01 01:00,1121068,3502053,F,20,EE,1104,167141,2.17
2019-09-30 06:40,2019-10-01 01:00,1122062,3503065,F,20,HE,1105,167493,2.18
2019-09-30 06:40,2019-10-01 05:20,3304353,1115066,M,20,EW,1360,112243,2.73
2019-09-30 07:00,2019-10-01 00:40,2111070,1108082,M,25,EH,1056,318506,2.27
2019-09-30 07:00,2019-10-01 01:00,1105067,3602064,M,30,EE,1076,314556,2.37
2019-09-30 07:00,2019-10-01 01:00,1119054,3502033,F,15,EE,1098,172419,4.08
2019-09-30 07:00,2019-10-01 01:00,1120073,3632037,F,15,HE,1088,246202,4.05
2019-09-30 07:00,2019-10-01 01:00,1121064,3531011,M,20,HE,1072,174779,2.67
2019-09-30 07:00,2019-10-01 01:00,1122060,3642011,F,20,EE,1072,283147,2.18
2019-09-30 07:00,2019-10-01 01:00,1123068,2401064,F,15,HE,1082,259303,4.03
2019-09-30 07:00,2019-10-01 01:00,1123079,3501173,F,45,HE,1081,189112,3.33
2019-09-30 07:00,2019-10-01 01:00,2331037,1104062,F,45,HE,1077,62420,3.34
2019-09-30 07:00,2019-10-01 01:20,1124066,2402056,F,25,HE,1095,260259,2.05
2019-09-30 07:00,2019-10-01 01:20,3807034,1121064,F,20,HE,1113,294590,2.21
2019-09-30 07:00,2019-10-01 02:00,1108083,3503072,F,40,HE,1137,181925,3.34
2019-09-30 07:00,2019-10-01 03:00,1119076,3902052,F,65,HE,1215,474944,4.69
2019-09-30 07:00,2019-10-01 03:00,1122053,3401159,F,20,EW,1208,73936,2.15
2019-09-30 07:00,2019-10-01 04:20,3408052,1107052,M,40,EH,1278,87768,3.01
2019-09-30 07:00,2019-10-01 04:40,1119073,3437031,M,55,EH,1306,92828,3.31
2019-09-30 07:00,2019-10-01 05:20,1105059,3239031,M,60,EE,1330,103332,3.52
2019-09-30 07:00,2019-10-01 05:40,1112051,3128051,M,55,EE,1354,72544,3.30
2019-09-30 07:00,2019-10-01 06:00,1123076,2901053,M,35,HH,1386,109429,2.70
2019-09-30 07:20,2019-10-01 00:40,2501065,1122060,M,45,EH,1037,133644,3.14
2019-09-30 07:20,2019-10-01 00:40,3501173,1120072,M,20,EH,1036,187119,2.68
2019-09-30 07:20,2019-10-01 01:00,1103066,3601065,M,40,HE,1062,310756,2.98
2019-09-30 07:20,2019-10-01 01:00,1106087,3602065,F,10,HE,1072,319698,6.01
2019-09-30 07:20,2019-10-01 01:00,1115058,3502053,M,35,HE,1058,171209,2.73
2019-09-30 07:20,2019-10-01 01:00,1116069,3901014,M,35,EE,1064,445875,2.71
2019-09-30 07:20,2019-10-01 01:20,1116069,3902059,M,35,EE,1079,480868,2.73
2019-09-30 07:20,2019-10-01 01:20,1116069,3902060,F,30,EE,1074,478657,2.40
2019-09-30 07:20,2019-10-01 01:40,1103072,3503065,F,30,EE,1099,175563,2.40
2019-09-30 07:20,2019-10-01 01:40,1116069,3902011,F,25,EH,1096,483589,2.06
2019-09-30 07:20,2019-10-01 03:00,1119076,3902052,M,65,HE,1179,474944,4.09
2019-09-30 07:20,2019-10-01 03:00,1122068,3405052,M,55,HH,1184,91779,3.30
2019-09-30 07:20,2019-10-01 05:20,3402037,1124063,M,55,EE,1317,103656,3.30
2019-09-30 07:20,2019-10-01 05:20,3640031,1123066,M,35,EH,1315,331594,2.71
2019-09-30 07:20,2019-10-01 06:20,3304332,1107069,M,60,EE,1384,109971,3.53
2019-09-30 07:20,2019-10-01 06:40,2206072,1124052,M,55,HE,1399,235084,3.28
2019-09-30 07:20,2019-10-01 07:00,1102060,3238011,F,65,EE,1411,105758,4.74
2019-09-30 07:40,2019-10-01 00:00,3122052,1115066,M,25,HE,974,67688,2.28
2019-09-30 07:40,2019-10-01 00:20,1116069,3902012,F,15,EE,1014,474832,4.06
2019-09-30 07:40,2019-10-01 00:20,3839034,1120053,M,50,EH,994,203436,3.29
2019-09-30 07:40,2019-10-01 00:40,3339014,1124069,M,45,EE,1027,86716,3.18
2019-09-30 07:40,2019-10-01 01:00,1109071,3501173,M,60,EE,1042,198189,3.55
