o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd
다사60506925,960625,1969375,다사61257050,961375,1970625,41150561,41150567,01,01,내국인,8,1320,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,20250602
다사60504700,960625,1947125,다사57505025,957625,1950375,11680565,11200615,1700,1720,내국인,8,4493,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,20250602
다사60754950,960875,1949625,다사58504425,958625,1944375,11200690,11680640,1800,1840,내국인,6,5615,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,20250602
다사60756300,960875,1963125,다사60256475,960375,1964875,11350700,11320522,1740,1820,내국인,5,1820,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,20250602
다사60755200,960875,1952125,다사60254500,960375,1945125,11230610,11680630,06,0740,내국인,6,6980,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.34,20250602
다사60757975,960875,1979875,다사63005325,963125,1953375,41630540,11260570,0700,0820,내국인,6,26495,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.22,0.00,0.00,0.00,0.00,0.00,3.22,20250602
다사60256925,960375,1969375,다사59756900,959875,1969125,41150545,41150555,14,15,내국인,7,390,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.67,20250602
다사60501775,960625,1917875,다사61251550,961375,1915625,41117530,41590550,1740,1840,내국인,7,2423,43,0.00,0.00,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,20250602
다사60256425,960375,1964375,다사60256775,960375,1967875,11350630,41150561,1740,1740,내국인,8,3500,7,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,20250602
다사60501875,960625,1918875,다사59004325,959125,1943375,41117520,11680655,06,0700,내국인,6,24452,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,20250602
